"Dist.Code","Dist.Name","State.Name","Cluster"
1,"Durg","Chhattisgarh",1
2,"Bastar","Chhattisgarh",1
3,"Raipur","Chhattisgarh",1
5,"Raigarh","Chhattisgarh",2
6,"Surguja","Chhattisgarh",1
7,"Jabalpur","Madhya Pradesh",1
8,"Balaghat","Madhya Pradesh",1
9,"Chhindwara","Madhya Pradesh",1
10,"Narsinghpur","Madhya Pradesh",1
11,"Seoni","Madhya Pradesh",1
12,"Mandla","Madhya Pradesh",1
13,"Sagar","Madhya Pradesh",1
14,"Damoh","Madhya Pradesh",1
15,"Tikamgarh","Madhya Pradesh",1
16,"Chhatarpur","Madhya Pradesh",1
17,"Panna","Madhya Pradesh",1
18,"Rewa","Madhya Pradesh",3
19,"Sidhi","Madhya Pradesh",1
20,"Satna","Madhya Pradesh",3
21,"Shahdol","Madhya Pradesh",1
22,"Gwalior","Madhya Pradesh",3
23,"Shivpuri","Madhya Pradesh",3
24,"Guna","Madhya Pradesh",1
25,"Datia","Madhya Pradesh",3
26,"Morena","Madhya Pradesh",3
27,"Bhind","Madhya Pradesh",3
28,"Indore","Madhya Pradesh",1
29,"Ratlam","Madhya Pradesh",1
30,"Ujjain","Madhya Pradesh",1
31,"Mandsaur","Madhya Pradesh",1
32,"Dewas","Madhya Pradesh",1
33,"Dhar","Madhya Pradesh",3
34,"Jhabua","Madhya Pradesh",1
35,"Khargone","Madhya Pradesh",3
36,"Khandwa","Madhya Pradesh",1
37,"Sehore","Madhya Pradesh",1
38,"Raisen","Madhya Pradesh",1
39,"Vidisha","Madhya Pradesh",1
40,"Betul","Madhya Pradesh",1
41,"Rajgarh","Madhya Pradesh",1
42,"Shajapur","Madhya Pradesh",1
43,"Hoshangabad","Madhya Pradesh",1
44,"Srikakulam","Andhra Pradesh",3
45,"Visakhapatnam","Andhra Pradesh",1
46,"East Godavari","Andhra Pradesh",3
47,"West Godavari","Andhra Pradesh",3
48,"Krishna","Andhra Pradesh",3
49,"Guntur","Andhra Pradesh",3
50,"S.P.S.Nellore","Andhra Pradesh",4
51,"Kurnool","Andhra Pradesh",5
52,"Anantapur","Andhra Pradesh",5
53,"Kadapa YSR","Andhra Pradesh",4
54,"Chittoor","Andhra Pradesh",4
55,"Hyderabad","Telangana",5
56,"Nizamabad","Telangana",3
57,"Medak","Telangana",3
58,"Mahabubnagar","Telangana",5
59,"Nalgonda","Telangana",5
60,"Warangal","Telangana",3
61,"Khammam","Telangana",3
62,"Karimnagar","Telangana",3
63,"Adilabad","Telangana",3
