,Unnamed: 0,Dist Code,Year,Dist Name,State Name,RICE AREA (1000 ha),RICE YIELD (kg per ha),nitrogen,phosphate,potash,prec_grow,prec_harvest,et_grow,et_harvest,maxT_grow,maxT_harvest,minT_grow,minT_harvest,runoff_grow,runoff_harvest,windspeed_grow,windspeed_harvest,RICE IRRIGATED AREA (1000 ha),RA-IA,KM5_clusterN_(maxT_growth_maxT_harvest)
0,0,1,1990,Durg,Chhattisgarh,397.9,1210.0,2590.1574209445585,1283.4113347022587,421.69229568788495,298.092,6.375,119.67,53.085,31.112,28.905,23.31,15.02,138.024,0.315,1.6064,0.9355,162.05,235.85,2
1,1,1,1991,Durg,Chhattisgarh,393.2,1293.0,2692.9759342915813,2142.8511868583164,765.8922381930186,227.654,3.93,117.386,43.89,31.796,27.9,23.908,13.965,78.862,0.205,1.7214000000000005,0.819,193.24,199.96,2
2,2,1,1992,Durg,Chhattisgarh,398.4,1291.0,3828.3703983572896,2318.049905544148,904.5234332648872,205.528,0.72,100.528,41.835,32.14,28.45,24.106,14.22,72.598,0.04,1.5901999999999998,0.654,201.7,196.7,2
3,3,1,1993,Durg,Chhattisgarh,410.2,1387.0,3235.5430472279254,1864.34636550308,439.8826447638604,242.886,0.5,118.75,47.15,32.224000000000004,27.97,24.338,13.855,86.95400000000001,0.0,1.9704000000000004,0.9485,209.68,200.52,2
4,4,1,1994,Durg,Chhattisgarh,430.1,1399.0,3967.2353347022586,1871.9153100616013,491.8507022587269,318.698,0.265,122.36799999999998,48.585,31.282,28.11,23.31,13.975,157.29399999999998,0.0,2.0116,0.9465,218.97,211.13,2
5,5,1,1995,Durg,Chhattisgarh,424.0,1507.0,3914.5212320328537,1847.1425051334704,486.6510061601643,238.442,1.105,113.35200000000002,49.150000000000006,32.528000000000006,29.005,24.528,15.105,91.396,0.045,2.2044,1.3375,220.15,203.85,2
6,6,1,1996,Durg,Chhattisgarh,407.1,1486.0,3821.590644763861,1802.5083942505137,474.07505544147847,180.242,1.1,108.612,45.760000000000005,32.142,28.78,23.898,14.045000000000002,36.2,0.0849999999999999,1.937,0.827,215.46,191.64,2
7,7,1,1997,Durg,Chhattisgarh,432.8,1265.0,5658.25123613963,2193.682792607803,872.0342340862423,177.788,23.06,100.446,58.315,32.28,29.42,24.038,15.77,42.374,1.16,1.7461999999999995,0.8895,219.1,213.7,7
8,8,1,1998,Durg,Chhattisgarh,411.9,859.0,5466.107531827515,2320.6801232032853,583.1895030800821,210.042,3.995,112.33,48.925,32.86,28.715,24.676,14.755,60.78000000000001,0.185,1.6168,0.8234999999999999,179.18,232.72,2
9,9,1,1999,Durg,Chhattisgarh,457.94,1314.0,6196.012829568788,2545.54458973306,1103.0053798767967,238.4,0.08,115.892,46.365,31.782000000000004,28.925,23.688,14.325,84.876,0.0,1.9908,0.6890000000000001,225.93,232.01,2
10,10,1,2000,Durg,Chhattisgarh,435.3,515.0,6496.892722792609,2930.257256673511,1161.5269897330595,203.364,0.0,116.398,40.415,31.96,29.165,24.05,14.855,57.174,0.0,1.65,0.6585,158.4,276.9,2
11,11,1,2001,Durg,Chhattisgarh,436.81,1385.0,6067.479257494865,2618.384444353183,830.710368788501,233.81600000000003,1.075,119.956,48.64,31.474,29.245,23.532,15.169999999999998,73.86800000000001,0.04,1.606,0.698,219.77,217.04,2
12,12,1,2002,Durg,Chhattisgarh,432.9,539.0,4970.474242299794,2486.1438110882955,1109.7884845995893,190.312,0.185,118.15,42.49,32.114000000000004,29.41,24.172000000000004,15.33,40.358,0.0,1.6308,0.663,176.18,256.72,7
13,13,1,2003,Durg,Chhattisgarh,442.75,1618.0,5031.640102669404,2156.947084188912,919.9017659137576,251.946,12.065,113.902,51.625,32.188,28.59,24.250000000000004,14.52,99.38,0.6,1.7474,0.603,182.83,259.92,2
14,14,1,2004,Durg,Chhattisgarh,449.64,1409.0,7049.948954414784,3296.1289527720737,1376.8401511293634,220.36000000000004,0.355,117.974,42.065,31.660000000000004,28.41,23.718,14.335,69.52199999999999,0.0,1.5821999999999998,0.5509999999999999,217.57,232.07,2
15,15,1,2005,Durg,Chhattisgarh,449.64,1409.0,7166.726094455851,3282.944436960985,1621.6954447638602,238.256,0.8400000000000001,121.152,46.12,32.62,27.585,24.688,13.505,77.50200000000001,0.04,1.6425999999999998,0.623,224.85,224.79,2
16,16,1,2006,Durg,Chhattisgarh,453.54,1645.0,9717.67655852156,4192.944704722793,2004.3301601642715,257.19,1.55,105.702,41.14,32.166000000000004,29.615,24.22,15.535,122.794,0.085,1.7558,0.6315,236.91,216.63,7
17,17,1,2007,Durg,Chhattisgarh,465.33,1571.0,9241.281809445583,4379.911458726899,2144.148911704312,221.826,1.7600000000000002,117.80800000000002,41.645,32.0,28.735,24.056,14.655,71.36800000000001,0.075,1.5284,0.5075000000000001,244.65,220.68,2
18,18,1,2008,Durg,Chhattisgarh,464.62,906.0,8824.307275564683,5685.002547843942,3246.3485963039016,242.022,0.04,118.54,41.73,31.962,29.715000000000003,24.022,15.635,91.518,0.0,1.5392,0.5585,228.93,235.69,7
19,19,1,2009,Durg,Chhattisgarh,451.26,788.0,12267.971039014374,6264.415411909651,3236.17356221766,213.664,2.705,106.506,45.64,32.944,29.14,25.006,15.065,71.22999999999999,0.145,1.5612,0.6025,201.18,250.08,7
20,20,1,2010,Durg,Chhattisgarh,454.8,1775.0,12362.304492813142,6885.092993839836,3425.400443531828,297.004,8.14,111.052,48.625,32.548,29.51,24.608,15.43,151.34600000000003,0.415,1.3288000000000002,0.6405000000000001,232.6,222.2,7
21,21,1,2011,Durg,Chhattisgarh,129.5,1922.0,13448.226652977412,8020.331211498974,2451.395112936345,230.046,0.0,116.294,38.945,32.062,29.015,24.124,14.935,84.076,0.0,1.4482,0.491,85.39,44.11,2
22,22,1,2012,Durg,Chhattisgarh,129.78,2282.0,4880.228998767967,2992.7214702258725,927.988292402464,292.63,0.87,104.578,40.4,32.182,28.83,24.252,14.75,156.662,0.04,1.5521999999999996,0.5235,87.2,42.58,2
23,23,1,2013,Durg,Chhattisgarh,130.67,1942.0,5277.694220944558,2221.754910061601,811.7424320328541,309.164,0.1,120.74,47.71,31.304,28.42,23.412000000000003,14.33,144.73,0.0,1.401,0.477,88.91,41.75999999999999,2
