"Dist.Code","Year","Dist.Name","State.Name","RICE.AREA..1000.ha.","RICE.YIELD..kg.per.ha.","nitrogen","phosphate","potash","prec_grow","prec_harvest","et_grow","et_harvest","maxT_grow","maxT_harvest","minT_grow","minT_harvest","runoff_grow","runoff_harvest","windspeed_grow","windspeed_harvest","RICE.IRRIGATED.AREA..1000.ha.","RA.IA","Cluster"
1,1990,"Durg","Chhattisgarh",397.9,1210,2590.15742094456,1283.41133470226,421.692295687885,298.092,6.375,119.67,53.085,31.112,28.905,23.31,15.02,138.024,0.315,1.6064,0.9355,162.05,235.85,1
1,1991,"Durg","Chhattisgarh",393.2,1293,2692.97593429158,2142.85118685832,765.892238193019,227.654,3.93,117.386,43.89,31.796,27.9,23.908,13.965,78.862,0.205,1.7214,0.819,193.24,199.96,1
1,1992,"Durg","Chhattisgarh",398.4,1291,3828.37039835729,2318.04990554415,904.523433264887,205.528,0.72,100.528,41.835,32.14,28.45,24.106,14.22,72.598,0.04,1.5902,0.654,201.7,196.7,1
1,1993,"Durg","Chhattisgarh",410.2,1387,3235.54304722793,1864.34636550308,439.88264476386,242.886,0.5,118.75,47.15,32.224,27.97,24.338,13.855,86.954,0,1.9704,0.9485,209.68,200.52,1
1,1994,"Durg","Chhattisgarh",430.1,1399,3967.23533470226,1871.9153100616,491.850702258727,318.698,0.265,122.368,48.585,31.282,28.11,23.31,13.975,157.294,0,2.0116,0.9465,218.97,211.13,1
1,1995,"Durg","Chhattisgarh",424,1507,3914.52123203285,1847.14250513347,486.651006160164,238.442,1.105,113.352,49.15,32.528,29.005,24.528,15.105,91.396,0.045,2.2044,1.3375,220.15,203.85,1
1,1996,"Durg","Chhattisgarh",407.1,1486,3821.59064476386,1802.50839425051,474.075055441478,180.242,1.1,108.612,45.76,32.142,28.78,23.898,14.045,36.2,0.085,1.937,0.827,215.46,191.64,1
1,1997,"Durg","Chhattisgarh",432.8,1265,5658.25123613963,2193.6827926078,872.034234086242,177.788,23.06,100.446,58.315,32.28,29.42,24.038,15.77,42.374,1.16,1.7462,0.8895,219.1,213.7,1
1,1998,"Durg","Chhattisgarh",411.9,859,5466.10753182752,2320.68012320329,583.189503080082,210.042,3.995,112.33,48.925,32.86,28.715,24.676,14.755,60.78,0.185,1.6168,0.8235,179.18,232.72,1
1,1999,"Durg","Chhattisgarh",457.94,1314,6196.01282956879,2545.54458973306,1103.0053798768,238.4,0.08,115.892,46.365,31.782,28.925,23.688,14.325,84.876,0,1.9908,0.689,225.93,232.01,1
1,2000,"Durg","Chhattisgarh",435.3,515,6496.89272279261,2930.25725667351,1161.52698973306,203.364,0,116.398,40.415,31.96,29.165,24.05,14.855,57.174,0,1.65,0.6585,158.4,276.9,1
1,2001,"Durg","Chhattisgarh",436.81,1385,6067.47925749487,2618.38444435318,830.710368788501,233.816,1.075,119.956,48.64,31.474,29.245,23.532,15.17,73.868,0.04,1.606,0.698,219.77,217.04,1
1,2002,"Durg","Chhattisgarh",432.9,539,4970.47424229979,2486.1438110883,1109.78848459959,190.312,0.185,118.15,42.49,32.114,29.41,24.172,15.33,40.358,0,1.6308,0.663,176.18,256.72,1
1,2003,"Durg","Chhattisgarh",442.75,1618,5031.6401026694,2156.94708418891,919.901765913758,251.946,12.065,113.902,51.625,32.188,28.59,24.25,14.52,99.38,0.6,1.7474,0.603,182.83,259.92,1
1,2004,"Durg","Chhattisgarh",449.64,1409,7049.94895441478,3296.12895277207,1376.84015112936,220.36,0.355,117.974,42.065,31.66,28.41,23.718,14.335,69.522,0,1.5822,0.551,217.57,232.07,1
1,2005,"Durg","Chhattisgarh",449.64,1409,7166.72609445585,3282.94443696099,1621.69544476386,238.256,0.84,121.152,46.12,32.62,27.585,24.688,13.505,77.502,0.04,1.6426,0.623,224.85,224.79,1
1,2006,"Durg","Chhattisgarh",453.54,1645,9717.67655852156,4192.94470472279,2004.33016016427,257.19,1.55,105.702,41.14,32.166,29.615,24.22,15.535,122.794,0.085,1.7558,0.6315,236.91,216.63,1
1,2007,"Durg","Chhattisgarh",465.33,1571,9241.28180944558,4379.9114587269,2144.14891170431,221.826,1.76,117.808,41.645,32,28.735,24.056,14.655,71.368,0.075,1.5284,0.5075,244.65,220.68,1
1,2008,"Durg","Chhattisgarh",464.62,906,8824.30727556468,5685.00254784394,3246.3485963039,242.022,0.04,118.54,41.73,31.962,29.715,24.022,15.635,91.518,0,1.5392,0.5585,228.93,235.69,1
1,2009,"Durg","Chhattisgarh",451.26,788,12267.9710390144,6264.41541190965,3236.17356221766,213.664,2.705,106.506,45.64,32.944,29.14,25.006,15.065,71.23,0.145,1.5612,0.6025,201.18,250.08,1
1,2010,"Durg","Chhattisgarh",454.8,1775,12362.3044928131,6885.09299383984,3425.40044353183,297.004,8.14,111.052,48.625,32.548,29.51,24.608,15.43,151.346,0.415,1.3288,0.6405,232.6,222.2,1
1,2011,"Durg","Chhattisgarh",129.5,1922,13448.2266529774,8020.33121149897,2451.39511293634,230.046,0,116.294,38.945,32.062,29.015,24.124,14.935,84.076,0,1.4482,0.491,85.39,44.11,1
1,2012,"Durg","Chhattisgarh",129.78,2282,4880.22899876797,2992.72147022587,927.988292402464,292.63,0.87,104.578,40.4,32.182,28.83,24.252,14.75,156.662,0.04,1.5522,0.5235,87.2,42.58,1
1,2013,"Durg","Chhattisgarh",130.67,1942,5277.69422094456,2221.7549100616,811.742432032854,309.164,0.1,120.74,47.71,31.304,28.42,23.412,14.33,144.73,0,1.401,0.477,88.91,41.76,1
1,2014,"Durg","Chhattisgarh",130.47,1855,5627.04518439425,3368.24781190965,1494.75219301848,233.122,0.705,104.736,40.82,32.704,28.4,24.81,14.305,97.692,0.035,1.4056,0.55,88.9,41.57,1
1,2015,"Durg","Chhattisgarh",129.5,1342,7127.97782340862,2879.941724846,1358.87248459959,257.27,0.195,114.77,40.835,32.366,30.32,24.81,16.22,112.254,0,1.34,0.533,86.62,42.88,1
2,1990,"Bastar","Chhattisgarh",579,970,482.650595482546,315.299383983573,58.2091170431212,327.396,15.515,119.262,61.09,28.722,28.06,21.256,13.885,169.856,0.775,1.8124,1.1,18.06,560.94,1
2,1991,"Bastar","Chhattisgarh",582.3,1072,824.450710472279,341.488459958932,90.2505215605749,272.092,27.485,118.36,62.16,29.254,26.705,21.736,12.495,120.482,1.38,1.8388,1.0335,20.28,562.02,1
2,1992,"Bastar","Chhattisgarh",584.4,913,905.76,472.464,161.568,253.59,15.545,111.168,53.61,29.524,27.415,21.918,13.04,113.244,0.775,1.7456,0.976,20.85,563.55,1
2,1993,"Bastar","Chhattisgarh",605.3,997,938.152854209446,365.118948665298,68.4598028747433,239.748,0.735,118.956,53.295,29.726,26.95,22.204,12.64,82.864,0.03,1.9008,1.1275,21.09,584.21,1
2,1994,"Bastar","Chhattisgarh",609.9,990,1047.47507186858,487.970094455852,125.186045174538,294.374,8.315,111.962,54.935,28.898,26.92,21.326,12.595,147.078,0.415,2.0288,1.1345,20.59,589.31,1
2,1995,"Bastar","Chhattisgarh",619,952,1060.5109650924,492.657905544148,124.460944558522,279.188,2.75,119.858,56.73,29.848,27.995,22.268,13.805,121.956,0.135,2.1754,1.3325,19.82,599.18,1
2,1996,"Bastar","Chhattisgarh",644.1,1041,1106.21199178645,515.33290349076,132.205823408624,216.714,4.41,120.19,51.02,29.59,27.74,21.862,13.075,63.828,0.22,2.0734,1.0255,20.15,623.95,1
2,1997,"Bastar","Chhattisgarh",622.8,731,2201.87295277207,667.86667761807,266.10312936345,185.776,47.635,97.128,69.735,29.898,29.045,22.17,15,61.738,2.38,1.805,0.9165,19.48,603.32,1
2,1998,"Bastar","Chhattisgarh",257.7,655,442.587843942505,307.652525667351,125.219975359343,249.3,35.415,119.152,68.345,30.278,27.65,22.588,13.43,92.552,1.77,1.6594,0.895,2.78,254.92,1
2,1999,"Bastar","Chhattisgarh",258.76,1131,575.563002874743,304.582304722793,110.560124845996,256.412,0.165,118.522,47.865,29.33,27.62,21.686,13.03,105.712,0,1.9154,0.853,2.16,256.6,1
2,2000,"Bastar","Chhattisgarh",258.34,826,1239.07714989733,324.649034907598,115.791489117043,248.75,0.165,113.742,41.955,29.386,27.835,21.852,13.415,108.274,0,1.6974,0.8155,1.9,256.44,1
2,2001,"Bastar","Chhattisgarh",260.22,1483,792.458064887064,343.362160164271,122.084323613963,267.278,19.68,117.402,58.665,29.062,27.76,21.506,13.47,114.996,0.985,1.7928,0.8295,1.88,258.34,1
2,2002,"Bastar","Chhattisgarh",258.96,497,534.786963449692,320.004369609856,130.17126899384,204.644,0.51,113.418,40.58,29.66,27.755,22.106,13.47,66.48,0.025,1.7446,0.8055,2.11,256.85,1
2,2003,"Bastar","Chhattisgarh",260.21,1688,577.698258726899,340.078974948665,136.249589322382,301.962,26.52,102.492,63.085,29.692,27.025,22.142,12.735,161.092,1.315,1.8042,0.813,2.01,258.2,1
2,2004,"Bastar","Chhattisgarh",260.83,1255,862.05653963039,362.741154825462,210.870611088296,267.718,1.4,119.816,50.31,29.164,27.005,21.612,12.72,111.736,0.055,1.644,0.6635,2.21,258.62,1
2,2005,"Bastar","Chhattisgarh",260.83,1255,1275.0570110883,658.834085420944,277.518835318275,287.86,1.22,116.356,50.17,29.822,26.46,22.274,12.175,134.072,0.055,1.7538,0.702,2.07,258.76,1
2,2006,"Bastar","Chhattisgarh",260.73,1342,1897.10788583162,945.823505544148,337.482059137577,269.934,31.22,104.116,59.12,29.538,28.03,21.988,13.74,139.394,1.56,1.7746,0.695,2.02,258.71,1
2,2007,"Bastar","Chhattisgarh",239.54,1441,1538.23045749487,351.194168377823,108.3684862423,240.666,4.24,118.39,50.695,29.402,27.82,21.852,13.535,87.372,0.215,1.6414,0.6705,1.83,237.71,1
2,2008,"Bastar","Chhattisgarh",240.34,1166,1258.45379876797,715.80852073922,326.191224640657,267.666,2.31,112.15,42.015,29.134,28.44,21.58,14.15,130.31,0.115,1.6252,0.7425,1.9,238.44,1
2,2009,"Bastar","Chhattisgarh",240.07,1159,2196.30035975359,1410.90174209446,354.988107597536,230.744,5.71,101.722,48.29,30.044,28.215,22.492,13.925,97.968,0.275,1.639,0.6815,2.19,237.88,1
2,2010,"Bastar","Chhattisgarh",240.89,1767,2352.13503819302,1282.52408131417,622.594302258727,374.658,37.51,120.074,68.55,29.682,28.195,22.13,13.905,216.732,1.875,1.5268,0.753,2.02,238.87,1
2,2011,"Bastar","Chhattisgarh",136.93,1061,1989.20207310062,1387.50859712526,503.036395071869,214.856,0.3,98.882,38.935,29.412,28.025,21.86,13.74,92.632,0,1.5756,0.6685,1.96,134.97,1
