"Dist Code","Year","State Code","State Name","Dist Name","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"1","1958","14","Chhattisgarh","Durg","108.4","113.93","107.43","112.77","103.98","59.69","39.09"
"1","1959","14","Chhattisgarh","Durg","174.99","113.04","106.29","112.63","98.1","52.13","39.38"
"1","1960","14","Chhattisgarh","Durg","169.81","113.3","113.01","113.6","96.19","54.09","39.94"
"1","1961","14","Chhattisgarh","Durg","174.1","111.19","107.96","114.05","102.45","53.19","42.69"
"1","1962","14","Chhattisgarh","Durg","86.88","112.45","107.46","112.05","72.95","46.4","60.18"
"1","1963","14","Chhattisgarh","Durg","175.38","114.06","106.32","116.86","102.41","55.0","40.14"
"1","1964","14","Chhattisgarh","Durg","154.93","113.57","105.04","110.86","88.91","54.26","37.42"
"1","1965","14","Chhattisgarh","Durg","168.36","114.7","108.69","112.24","76.58","47.57","35.62"
"1","1966","14","Chhattisgarh","Durg","119.2","116.33","108.25","114.29","78.33","55.44","45.42"
"1","1967","14","Chhattisgarh","Durg","173.87","113.68","107.7","112.49","74.16","46.84","69.01"
"1","1968","14","Chhattisgarh","Durg","139.76","114.89","110.84","111.75","77.97","47.82","36.23"
"1","1969","14","Chhattisgarh","Durg","92.58","112.75","108.63","111.29","73.97","50.1","41.63"
"1","1970","14","Chhattisgarh","Durg","157.94","113.7","105.49","111.82","72.93","44.57","30.95"
"1","1971","14","Chhattisgarh","Durg","163.44","115.95","107.94","112.32","107.9","53.4","41.97"
"1","1972","14","Chhattisgarh","Durg","115.65","116.98","110.79","111.84","77.16","48.65","38.51"
"1","1973","14","Chhattisgarh","Durg","95.83","115.33","107.65","113.93","113.93","56.58","42.81"
"1","1974","14","Chhattisgarh","Durg","155.52","115.85","108.38","102.32","114.7","57.63","40.72"
"1","1975","14","Chhattisgarh","Durg","172.3","112.07","108.03","109.86","113.89","55.61","39.5"
"1","1976","14","Chhattisgarh","Durg","91.56","111.94","106.57","112.62","73.64","50.58","33.28"
"1","1977","14","Chhattisgarh","Durg","172.16","114.32","107.38","111.99","84.02","57.03","39.49"
"1","1978","14","Chhattisgarh","Durg","170.67","111.06","105.17","111.23","77.97","51.11","44.42"
"1","1979","14","Chhattisgarh","Durg","170.7","115.2","109.1","113.55","82.22","53.23","36.69"
"1","1980","14","Chhattisgarh","Durg","166.19","113.72","107.25","112.75","74.66","48.38","40.17"
"1","1981","14","Chhattisgarh","Durg","174.89","114.58","107.98","112.86","81.27","48.72","39.31"
"1","1982","14","Chhattisgarh","Durg","164.42","117.62","109.54","112.58","86.84","52.25","36.64"
"1","1983","14","Chhattisgarh","Durg","155.42","116.35","109.38","112.13","94.41","52.24","42.07"
"1","1984","14","Chhattisgarh","Durg","113.18","112.13","110.28","100.03","81.03","45.18","33.84"
"1","1985","14","Chhattisgarh","Durg","175.16","112.9","108.49","112.69","114.5","57.21","44.09"
"1","1986","14","Chhattisgarh","Durg","171.1","114.84","107.08","114.15","77.8","49.19","44.41"
"1","1987","14","Chhattisgarh","Durg","113.2","117.97","110.26","118.14","88.5","54.52","38.94"
"1","1988","14","Chhattisgarh","Durg","167.83","112.3","107.14","112.57","81.07","48.71","35.56"
"1","1989","14","Chhattisgarh","Durg","164.96","112.94","107.85","111.05","75.89","47.77","40.41"
"1","1990","14","Chhattisgarh","Durg","161.62","113.8","106.69","112.18","104.06","59.89","46.28"
"1","1991","14","Chhattisgarh","Durg","167.88","115.49","108.97","114.08","80.51","50.78","37.0"
"1","1992","14","Chhattisgarh","Durg","85.58","116.08","107.11","111.97","81.9","50.22","33.45"
"1","1993","14","Chhattisgarh","Durg","150.82","116.65","111.49","114.82","99.97","54.68","39.62"
"1","1994","14","Chhattisgarh","Durg","171.76","113.06","107.52","113.64","105.86","57.23","39.94"
"1","1995","14","Chhattisgarh","Durg","122.9","117.27","112.23","115.66","98.7","58.02","40.28"
"1","1996","14","Chhattisgarh","Durg","110.47","116.68","108.9","115.55","91.46","53.18","38.34"
"1","1997","14","Chhattisgarh","Durg","71.62","117.58","110.39","112.65","89.99","57.65","58.98"
"1","1998","14","Chhattisgarh","Durg","119.75","115.76","109.99","113.58","102.57","60.19","37.66"
"1","1999","14","Chhattisgarh","Durg","136.35","118.28","108.65","114.5","101.68","54.39","38.34"
