"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)"
"1","1990","14","Chhattisgarh","Durg","236.6"
"1","1991","14","Chhattisgarh","Durg","240.0"
"1","1992","14","Chhattisgarh","Durg","242.0"
"1","1993","14","Chhattisgarh","Durg","245.0"
"1","1994","14","Chhattisgarh","Durg","249.0"
"1","1995","14","Chhattisgarh","Durg","0.0"
"1","1996","14","Chhattisgarh","Durg","0.0"
"1","1997","14","Chhattisgarh","Durg","0.0"
"1","1999","14","Chhattisgarh","Durg","335.0"
"1","2008","14","Chhattisgarh","Durg","0.0"
"1","2009","14","Chhattisgarh","Durg","0.0"
"2","1990","14","Chhattisgarh","Bastar","185.8"
"2","1991","14","Chhattisgarh","Bastar","193.3"
"2","1992","14","Chhattisgarh","Bastar","212.0"
"2","1993","14","Chhattisgarh","Bastar","269.7"
"2","1994","14","Chhattisgarh","Bastar","304.2"
"2","1995","14","Chhattisgarh","Bastar","0.0"
"2","1996","14","Chhattisgarh","Bastar","0.0"
"2","1997","14","Chhattisgarh","Bastar","0.0"
"2","2008","14","Chhattisgarh","Bastar","0.0"
"2","2009","14","Chhattisgarh","Bastar","0.0"
"3","1990","14","Chhattisgarh","Raipur","588.2"
"3","1991","14","Chhattisgarh","Raipur","601.3"
"3","1992","14","Chhattisgarh","Raipur","592.4"
"3","1993","14","Chhattisgarh","Raipur","582.6"
"3","1994","14","Chhattisgarh","Raipur","573.4"
"3","1995","14","Chhattisgarh","Raipur","116.8"
"3","1996","14","Chhattisgarh","Raipur","114.35"
"3","1997","14","Chhattisgarh","Raipur","120.62"
"3","1999","14","Chhattisgarh","Raipur","393.5"
"3","2008","14","Chhattisgarh","Raipur","26.09"
"3","2009","14","Chhattisgarh","Raipur","41.86"
"4","1990","14","Chhattisgarh","Bilaspur","413.7"
"4","1991","14","Chhattisgarh","Bilaspur","450.0"
"4","1992","14","Chhattisgarh","Bilaspur","479.3"
"4","1993","14","Chhattisgarh","Bilaspur","501.5"
"4","1994","14","Chhattisgarh","Bilaspur","437.4"
"4","1995","14","Chhattisgarh","Bilaspur","0.0"
"4","1996","14","Chhattisgarh","Bilaspur","0.0"
"4","1997","14","Chhattisgarh","Bilaspur","0.0"
"4","1999","14","Chhattisgarh","Bilaspur","239.6"
"4","2008","14","Chhattisgarh","Bilaspur","0.0"
