"Dist Code","Year","State Code","State Name","Dist Name","JUNE WATER DEFICIT (Millimeters)","JULY WATER DEFICIT (Millimeters)","AUGUST WATER DEFICIT (Millimeters)","OCTOBER WATER DEFICIT (Millimeters)","NOVEMBER WATER DEFICIT (Millimeters)","DECEMBER WATER DEFICIT (Millimeters)"
"1","1958","14","Chhattisgarh","Durg","81.6","0.0","0.0","0.0","12.9","37.33"
"1","1959","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","18.76","37.46"
"1","1960","14","Chhattisgarh","Durg","6.76","0.0","0.0","0.0","17.66","38.36"
"1","1961","14","Chhattisgarh","Durg","1.52","0.0","0.0","0.0","11.91","34.73"
"1","1962","14","Chhattisgarh","Durg","87.34","0.0","0.0","0.0","39.94","41.96"
"1","1963","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","14.48","37.62"
"1","1964","14","Chhattisgarh","Durg","159.36","282.89","490.97","231.82","43.23","0.37"
"1","1965","14","Chhattisgarh","Durg","174.3","280.3","166.4","278.58","6.79","0.0"
"1","1966","14","Chhattisgarh","Durg","121.51","452.65","253.67","245.37","8.45","5.61"
"1","1967","14","Chhattisgarh","Durg","206.98","464.88","256.95","134.29","6.68","0.0"
"1","1968","14","Chhattisgarh","Durg","142.2","404.21","181.39","419.42","18.61","0.36"
"1","1969","14","Chhattisgarh","Durg","78.2","0.0","0.0","0.0","38.54","45.43"
"1","1970","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","40.42","41.95"
"1","1971","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","6.03","33.19"
"1","1972","14","Chhattisgarh","Durg","58.41","0.0","0.0","0.7","35.54","40.23"
"1","1973","14","Chhattisgarh","Durg","84.47","0.0","0.0","0.0","0.0","32.93"
"1","1974","14","Chhattisgarh","Durg","15.22","0.0","0.0","10.81","0.0","32.41"
"1","1975","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.39","32.45"
"1","1976","14","Chhattisgarh","Durg","87.05","0.0","0.0","0.0","42.6","45.38"
"1","1977","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","29.55","40.15"
"1","1978","14","Chhattisgarh","Durg","0.46","0.0","0.0","0.92","37.19","43.23"
"1","1979","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","34.42","44.32"
"1","1980","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","40.97","45.86"
"1","1981","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","33.17","41.7"
"1","1982","14","Chhattisgarh","Durg","11.92","0.0","0.0","0.0","28.35","41.26"
"1","1983","14","Chhattisgarh","Durg","19.54","0.0","0.0","0.0","21.57","38.76"
"1","1984","14","Chhattisgarh","Durg","60.22","0.0","0.0","12.68","33.08","43.14"
"1","1985","14","Chhattisgarh","Durg","0.03","0.0","0.0","0.0","0.4","33.4"
"1","1986","14","Chhattisgarh","Durg","0.13","0.0","0.0","0.0","36.86","41.62"
"1","1987","14","Chhattisgarh","Durg","61.55","0.0","0.0","0.0","26.62","40.16"
"1","1988","14","Chhattisgarh","Durg","4.13","0.0","0.0","0.0","31.58","39.87"
"1","1989","14","Chhattisgarh","Durg","6.98","0.0","0.0","0.0","38.09","43.41"
"1","1990","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","9.49","38.25"
"1","1991","14","Chhattisgarh","Durg","0.22","0.0","0.0","0.07","34.0","41.52"
"1","1992","14","Chhattisgarh","Durg","86.42","0.0","0.0","0.0","32.8","41.66"
"1","1993","14","Chhattisgarh","Durg","28.29","0.0","0.0","0.0","19.02","39.17"
"1","1994","14","Chhattisgarh","Durg","5.14","0.0","0.0","0.0","12.77","38.03"
"1","1995","14","Chhattisgarh","Durg","61.39","0.0","0.0","0.0","26.82","45.68"
"1","1996","14","Chhattisgarh","Durg","72.3","0.0","0.0","0.0","24.59","40.22"
"1","1997","14","Chhattisgarh","Durg","108.23","0.0","0.0","0.0","24.75","39.14"
"1","1998","14","Chhattisgarh","Durg","55.52","0.0","0.0","0.0","17.55","37.3"
"1","1999","14","Chhattisgarh","Durg","38.07","0.0","0.0","0.0","16.47","38.04"
"1","2000","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","39.3","44.84"
"1","2001","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.98","10.55","37.17"
"1","2002","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","32.65","41.93"
"1","2003","14","Chhattisgarh","Durg","57.21","0.0","0.0","0.0","14.8","36.38"
"1","2004","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","28.37","39.19"
"1","2005","14","Chhattisgarh","Durg","20.49","0.0","0.0","0.0","11.13","34.42"
"1","2006","14","Chhattisgarh","Durg","59.14","0.0","0.0","0.0","40.53","43.27"
"1","2007","14","Chhattisgarh","Durg","0.33","0.0","0.0","0.0","32.86","39.71"
"1","2008","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","33.85","42.59"
"1","2009","14","Chhattisgarh","Durg","85.57","0.0","0.0","0.0","22.91","38.11"
"1","2010","14","Chhattisgarh","Durg","41.16","0.0","0.0","0.0","25.28","39.58"
"1","2011","14","Chhattisgarh","Durg","1.88","0.0","0.0","0.0","39.8","42.91"
"1","2012","14","Chhattisgarh","Durg","70.2","0.0","0.0","0.0","35.92","40.63"
"1","2013","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.05","31.88"
"1","2014","14","Chhattisgarh","Durg","69.24","0.0","0.0","0.0","34.14","41.21"
"1","2015","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","38.76","43.82"
"2","1958","14","Chhattisgarh","Bastar","87.5","0.0","0.0","0.0","0.0","27.43"
"2","1959","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","3.2","34.27"
"2","1960","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","3.79","34.68"
"2","1961","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","0.0","24.5"
"2","1962","14","Chhattisgarh","Bastar","32.84","0.0","0.0","0.0","11.0","31.2"
"2","1963","14","Chhattisgarh","Bastar","12.16","0.0","0.0","0.0","0.0","34.64"
"2","1964","14","Chhattisgarh","Bastar","130.51","268.56","488.18","397.19","108.21","7.27"
"2","1965","14","Chhattisgarh","Bastar","121.06","479.38","302.82","269.66","12.42","1.08"
"2","1966","14","Chhattisgarh","Bastar","125.36","396.26","363.99","266.6","36.58","21.86"
"2","1967","14","Chhattisgarh","Bastar","219.28","421.25","323.55","217.0","22.29","0.13"
"2","1968","14","Chhattisgarh","Bastar","154.17","373.1","103.7","369.83","85.34","15.53"
"2","1969","14","Chhattisgarh","Bastar","18.55","0.0","0.0","0.0","14.86","27.6"
"2","1970","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","30.41","42.9"
"2","1971","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","10.91","35.94"
"2","1972","14","Chhattisgarh","Bastar","23.51","0.0","0.0","0.0","11.09","20.56"
"2","1973","14","Chhattisgarh","Bastar","0.63","0.0","0.0","0.0","0.0","33.6"
"2","1974","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","0.0","28.98"
"2","1975","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","0.0","32.2"
"2","1976","14","Chhattisgarh","Bastar","69.13","0.0","0.0","0.0","36.35","28.09"
"2","1977","14","Chhattisgarh","Bastar","3.18","0.0","0.0","0.04","22.27","14.27"
"2","1978","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","25.91","30.97"
"2","1979","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","18.69","32.14"
"2","1980","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","27.32","41.67"
"2","1981","14","Chhattisgarh","Bastar","1.0","0.0","0.0","0.0","26.56","41.44"
"2","1982","14","Chhattisgarh","Bastar","5.66","0.0","0.0","0.0","8.89","29.94"
"2","1983","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","7.76","35.54"
"2","1984","14","Chhattisgarh","Bastar","1.06","0.0","0.0","0.0","22.05","39.74"
"2","1985","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","0.0","33.61"
"2","1986","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","28.55","21.48"
"2","1987","14","Chhattisgarh","Bastar","45.48","0.0","0.0","4.96","16.27","33.37"
"2","1988","14","Chhattisgarh","Bastar","23.98","0.0","0.0","0.0","27.14","39.49"
"2","1989","14","Chhattisgarh","Bastar","3.21","0.0","0.0","0.0","33.34","45.08"
"2","1990","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","0.0","30.23"
"2","1991","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","11.93","17.49"
"2","1992","14","Chhattisgarh","Bastar","26.93","0.0","0.0","0.0","23.87","29.94"
"2","1993","14","Chhattisgarh","Bastar","20.66","0.0","0.0","0.0","0.0","35.07"
"2","1994","14","Chhattisgarh","Bastar","40.1","0.0","0.0","0.0","6.78","31.4"
"2","1995","14","Chhattisgarh","Bastar","25.28","0.0","0.0","0.0","0.0","35.56"
"2","1996","14","Chhattisgarh","Bastar","1.68","0.0","0.0","0.0","14.69","37.78"
"2","1997","14","Chhattisgarh","Bastar","97.49","0.0","0.0","0.0","31.75","20.44"
